id,sex,work_xp,ssc_pct,ssc_board,hsc_pct,hsc_board,hsc_spc,degree_pct,degree_type,etest_pct,specialisation,mba_pct,salary,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
189,F,No,59,Central,62,Others,Commerce,77.5,Comm&Mgmt,74,Mkt&HR,67,,4,4,4,3,3,3,3,3,Employable
190,F,No,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,53.04,Mkt&Fin,65.52,250000,5,3,3,4,3,3,3,5,Employable
191,M,No,54.2,Central,63,Others,Science,58,Comm&Mgmt,79,Mkt&HR,58.44,,4,4,4,4,4,4,4,5,Employable
192,M,No,58,Central,70,Central,Commerce,61,Comm&Mgmt,54,Mkt&Fin,52.21,,4,4,3,4,3,4,4,5,Employable
193,M,Yes,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,75.2,Mkt&Fin,66.06,285000,5,5,5,5,5,5,4,5,LessEmployable
194,M,No,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,66,Mkt&HR,58.3,260000,3,4,4,4,3,4,4,5,Employable
195,M,No,56,Central,52,Central,Science,52,Sci&Tech,66,Mkt&HR,59.43,,4,3,3,2,3,3,2,5,LessEmployable
196,F,Yes,82,Others,64,Others,Science,73,Sci&Tech,96,Mkt&Fin,71.77,250000,3,3,3,3,3,2,2,4,LessEmployable
197,F,No,85,Others,90,Others,Commerce,82,Comm&Mgmt,92,Mkt&Fin,68.03,300000,4,4,3,4,4,4,3,5,LessEmployable
198,M,No,75,Others,70.29,Others,Commerce,71,Comm&Mgmt,95,Mkt&Fin,66.94,240000,3,3,3,3,3,3,3,4,LessEmployable
199,F,No,63.3,Central,78.33,Others,Commerce,74,Comm&Mgmt,80,Mkt&Fin,74.56,,5,3,3,3,3,3,3,4,LessEmployable
200,M,No,67,Others,63,Central,Commerce,72,Comm&Mgmt,56,Mkt&HR,60.41,225000,4,4,4,4,4,4,4,5,LessEmployable
201,F,No,59,Central,60,Others,Commerce,56,Comm&Mgmt,55,Mkt&HR,57.9,220000,4,4,4,5,5,4,4,5,LessEmployable
202,F,No,69,Central,73,Central,Commerce,65,Comm&Mgmt,70,Mkt&Fin,57.31,220000,4,3,3,4,5,4,3,5,LessEmployable
203,M,Yes,55,Others,49.8,Others,Science,67.25,Sci&Tech,55,Mkt&Fin,51.58,,5,4,5,4,4,4,4,5,Employable
204,F,No,79,Central,76,Central,Science,65.6,Sci&Tech,58,Mkt&HR,55.47,320000,5,4,4,4,4,4,4,3,Employable
205,M,No,41,Central,42,Central,Science,60,Comm&Mgmt,97,Mkt&Fin,53.39,,5,4,5,5,5,5,4,5,Employable
206,M,Yes,69.6,Central,68.4,Central,Commerce,78.3,Comm&Mgmt,60,Mkt&Fin,63.7,250000,4,3,3,3,5,3,3,3,LessEmployable
207,M,No,61,Others,70,Others,Commerce,64,Comm&Mgmt,68.5,Mkt&HR,59.5,,5,5,5,5,5,4,4,4,Employable
208,M,No,52,Others,50,Others,Arts,61,Comm&Mgmt,60,Mkt&Fin,58.52,,5,5,4,4,5,5,4,3,Employable
209,M,No,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,59,Mkt&Fin,64.74,,4,4,4,4,3,3,3,3,LessEmployable
210,M,Yes,64,Others,80,Others,Science,65,Sci&Tech,69,Mkt&Fin,57.65,500000,5,5,5,5,5,4,4,3,Employable
211,F,No,69,Central,78,Central,Commerce,72,Comm&Mgmt,71,Mkt&HR,62.74,300000,5,4,4,4,4,5,4,5,Employable
212,M,No,63,Others,67,Others,Science,64,Sci&Tech,75,Mkt&Fin,66.46,500000,5,5,5,5,5,5,4,5,Employable
213,F,No,67,Central,53,Central,Science,65,Sci&Tech,64,Mkt&HR,58.32,,4,3,4,4,3,4,3,5,LessEmployable
214,F,Yes,73,Central,97,Others,Commerce,79,Comm&Mgmt,89,Mkt&Fin,70.81,650000,4,3,4,4,3,3,3,3,LessEmployable
215,F,Yes,74,Others,63.16,Others,Commerce,65,Comm&Mgmt,65,Mkt&HR,69.76,,5,5,4,5,5,4,4,5,LessEmployable
